subject,channel,mean_isc_z,signal_type,stimulus
92,rdlPFC,0.007897543658169096,HbO,Zima
92,vmPFC,0.018714714971913845,HbO,Zima
93,dmPFC,0.05706703586999578,HbO,Zima
93,lTPJ,0.093050913402993235,HbO,Zima
93,ldlPFC,0.06582468645511215,HbO,Zima
93,rTPJ,0.07568604898750071,HbO,Zima
93,rdlPFC,0.07240365815103665,HbO,Zima
93,vmPFC,0.06345248186509263,HbO,Zima
94,dmPFC,0.07907197187091893,HbO,Zima
94,lTPJ,0.07133174356428967,HbO,Zima
94,ldlPFC,0.08031878651490648,HbO,Zima
94,rTPJ,0.07686732931610443,HbO,Zima
94,rdlPFC,0.08116677325641793,HbO,Zima
94,vmPFC,0.08627748501747086,HbO,Zima
95,dmPFC,0.054282733082333556,HbO,Zima
95,lTPJ,0.057895681327522784,HbO,Zima
95,ldlPFC,0.048481068512930874,HbO,Zima
95,rTPJ,0.04426180184499906,HbO,Zima
95,rdlPFC,0.05887210713339219,HbO,Zima
95,vmPFC,0.07811090727991415,HbO,Zima
96,dmPFC,0.037909108422778365,HbO,Zima
96,lTPJ,0.026897267724176128,HbO,Zima
